"Land";"Bremen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Bremen, Stadt";"04011";"Gelsenkirchen, Stadt";"05513";"80";"70";"10";"60";"20";"0"
"Bremen, Stadt";"04011";"Münster, Stadt";"05515";"150";"110";"50";"130";"20";"0"
"Bremen, Stadt";"04011";"Borken";"05554";"50";"40";"10";"50";"0";"0"
"Bremen, Stadt";"04011";"Coesfeld";"05558";"50";"40";"10";"50";"10";"0"
"Bremen, Stadt";"04011";"Recklinghausen";"05562";"250";"210";"40";"220";"30";"10"
"Bremen, Stadt";"04011";"Steinfurt";"05566";"220";"170";"60";"200";"20";"10"
"Bremen, Stadt";"04011";"Warendorf";"05570";"80";"50";"30";"70";"10";"0"
"Bremen, Stadt";"04011";"Bielefeld, Stadt";"05711";"90";"50";"40";"70";"20";"0"
"Bremen, Stadt";"04011";"Gütersloh";"05754";"90";"60";"30";"60";"30";"0"
"Bremen, Stadt";"04011";"Herford";"05758";"90";"60";"20";"70";"20";"0"
"Bremen, Stadt";"04011";"Höxter";"05762";"30";"30";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Lippe";"05766";"70";"50";"20";"60";"10";"0"
"Bremen, Stadt";"04011";"Minden-Lübbecke";"05770";"230";"190";"50";"200";"30";"10"
"Bremen, Stadt";"04011";"Paderborn";"05774";"60";"50";"10";"50";"10";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"059xx";"10";"0";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Bochum, Stadt";"05911";"90";"70";"30";"70";"20";"0"
"Bremen, Stadt";"04011";"Dortmund, Stadt";"05913";"150";"110";"30";"120";"30";"0"
"Bremen, Stadt";"04011";"Hagen, Stadt der FernUniversität";"05914";"20";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Hamm, Stadt";"05915";"50";"40";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Herne, Stadt";"05916";"30";"30";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Ennepe-Ruhr-Kreis";"05954";"60";"30";"20";"50";"10";"0"
"Bremen, Stadt";"04011";"Hochsauerlandkreis";"05958";"30";"20";"0";"20";"0";"0"
"Bremen, Stadt";"04011";"Märkischer Kreis";"05962";"50";"40";"10";"40";"0";"0"
"Bremen, Stadt";"04011";"Siegen-Wittgenstein";"05970";"30";"20";"0";"20";"10";"0"
"Bremen, Stadt";"04011";"Soest";"05974";"60";"40";"20";"40";"20";"0"
"Bremen, Stadt";"04011";"Unna";"05978";"80";"60";"30";"80";"10";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"064xx";"10";"0";"0";"0";"0";"0"
"Bremen, Stadt";"04011";"Darmstadt, Wissenschaftsstadt";"06411";"40";"30";"10";"20";"20";"0"
"Bremen, Stadt";"04011";"Frankfurt am Main, Stadt";"06412";"170";"100";"70";"110";"60";"0"
"Bremen, Stadt";"04011";"Offenbach am Main, Stadt";"06413";"40";"30";"10";"20";"20";"0"
"Bremen, Stadt";"04011";"Wiesbaden, Landeshauptstadt";"06414";"50";"30";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Bergstraße";"06431";"40";"30";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Darmstadt-Dieburg";"06432";"30";"20";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Groß-Gerau";"06433";"70";"40";"30";"40";"20";"0"
"Bremen, Stadt";"04011";"Hochtaunuskreis";"06434";"40";"20";"20";"40";"10";"0"
"Bremen, Stadt";"04011";"Main-Kinzig-Kreis";"06435";"50";"30";"20";"40";"10";"0"
"Bremen, Stadt";"04011";"Main-Taunus-Kreis";"06436";"50";"30";"20";"40";"10";"0"
"Bremen, Stadt";"04011";"Offenbach";"06438";"90";"70";"30";"70";"30";"0"
"Bremen, Stadt";"04011";"Rheingau-Taunus-Kreis";"06439";"20";"20";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Wetteraukreis";"06440";"60";"50";"10";"50";"10";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"065xx";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Gießen";"06531";"60";"40";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Lahn-Dill-Kreis";"06532";"30";"20";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Limburg-Weilburg";"06533";"20";"20";"0";"20";"0";"0"
"Bremen, Stadt";"04011";"Marburg-Biedenkopf";"06534";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Kassel, documenta-Stadt";"06611";"60";"40";"20";"50";"10";"0"
"Bremen, Stadt";"04011";"Fulda";"06631";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Hersfeld-Rotenburg";"06632";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Kassel";"06633";"60";"40";"10";"50";"10";"10"
"Bremen, Stadt";"04011";"Schwalm-Eder-Kreis";"06634";"30";"20";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Waldeck-Frankenberg";"06635";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Werra-Meißner-Kreis";"06636";"20";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"070xx";"80";"60";"20";"70";"10";"0"
"Bremen, Stadt";"04011";"Koblenz, kreisfreie Stadt";"07111";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Ahrweiler";"07131";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Bad Kreuznach";"07133";"40";"20";"20";"40";"0";"0"
"Bremen, Stadt";"04011";"Mayen-Koblenz";"07137";"30";"20";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Neuwied";"07138";"20";"10";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Rhein-Hunsrück-Kreis";"07140";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Rhein-Lahn-Kreis";"07141";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Westerwaldkreis";"07143";"20";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Trier, kreisfreie Stadt";"07211";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Bernkastel-Wittlich";"07231";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Eifelkreis Bitburg-Prüm";"07232";"20";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Vulkaneifel";"07233";"20";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Trier-Saarburg";"07235";"20";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Frankenthal (Pfalz), kreisfreie Stadt";"07311";"10";"0";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Kaiserslautern, kreisfreie Stadt";"07312";"20";"10";"0";"10";"10";"0"
"Bremen, Stadt";"04011";"Ludwigshafen am Rhein, kreisfreie Stadt";"07314";"20";"10";"10";"10";"10";"0"
"Bremen, Stadt";"04011";"Mainz, kreisfreie Stadt";"07315";"50";"40";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Speyer, kreisfreie Stadt";"07318";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Worms, kreisfreie Stadt";"07319";"20";"10";"10";"10";"10";"0"
"Bremen, Stadt";"04011";"Alzey-Worms";"07331";"20";"10";"0";"20";"0";"0"
"Bremen, Stadt";"04011";"Germersheim";"07334";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Kaiserslautern";"07335";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Rhein-Pfalz-Kreis";"07338";"20";"10";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Mainz-Bingen";"07339";"40";"30";"10";"40";"0";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"081xx";"20";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Stuttgart, Landeshauptstadt";"08111";"120";"80";"40";"100";"30";"0"
"Bremen, Stadt";"04011";"Böblingen";"08115";"60";"40";"20";"50";"10";"0"
"Bremen, Stadt";"04011";"Esslingen";"08116";"80";"50";"30";"60";"20";"0"
"Bremen, Stadt";"04011";"Göppingen";"08117";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Ludwigsburg";"08118";"70";"40";"30";"70";"10";"0"
"Bremen, Stadt";"04011";"Rems-Murr-Kreis";"08119";"50";"30";"20";"50";"0";"0"
"Bremen, Stadt";"04011";"Heilbronn";"08125";"30";"20";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Schwäbisch Hall";"08127";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Main-Tauber-Kreis";"08128";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Ostalbkreis";"08136";"20";"20";"0";"20";"0";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"082xx";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Karlsruhe, Stadt";"08212";"40";"30";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Karlsruhe";"08215";"60";"50";"10";"60";"10";"0"
"Bremen, Stadt";"04011";"Rastatt";"08216";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Heidelberg, Stadt";"08221";"30";"20";"20";"20";"10";"0"
"Bremen, Stadt";"04011";"Mannheim, Universitätsstadt";"08222";"60";"30";"30";"40";"20";"0"
"Bremen, Stadt";"04011";"Rhein-Neckar-Kreis";"08226";"80";"50";"30";"70";"10";"0"
"Bremen, Stadt";"04011";"Pforzheim, Stadt";"08231";"20";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Calw";"08235";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Enzkreis";"08236";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Freudenstadt";"08237";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"083xx";"20";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Freiburg im Breisgau, Stadt";"08311";"20";"10";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Breisgau-Hochschwarzwald";"08315";"20";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Emmendingen";"08316";"20";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Ortenaukreis";"08317";"30";"20";"10";"20";"10";"0"
