"Land";"Thüringen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Erfurt, Stadt";"16051";"Erlangen, Stadt";"09562";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Nürnberg, Stadt";"09564";"60";"40";"20";"40";"20";"0"
"Erfurt, Stadt";"16051";"Erlangen-Höchstadt";"09572";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Nürnberger Land";"09574";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"096xx";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Schweinfurt, Stadt";"09662";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Würzburg, Stadt";"09663";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Aschaffenburg";"09671";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Bad Kissingen";"09672";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Rhön-Grabfeld";"09673";"40";"20";"20";"30";"0";"0"
"Erfurt, Stadt";"16051";"Haßberge";"09674";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Schweinfurt";"09678";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Würzburg";"09679";"20";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"097xx";"40";"20";"20";"20";"20";"0"
"Erfurt, Stadt";"16051";"Augsburg, Stadt";"09761";"10";"10";"0";"10";"10";"0"
