"Land";"Berlin"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Berlin, Stadt";"11000";"Ostalbkreis";"08136";"250";"140";"110";"200";"50";"0"
"Berlin, Stadt";"11000";"Baden-Baden, Stadt";"08211";"100";"50";"40";"70";"30";"0"
"Berlin, Stadt";"11000";"Karlsruhe, Stadt";"08212";"660";"420";"240";"470";"180";"0"
"Berlin, Stadt";"11000";"Karlsruhe";"08215";"460";"280";"180";"360";"100";"10"
"Berlin, Stadt";"11000";"Rastatt";"08216";"220";"130";"90";"160";"60";"10"
"Berlin, Stadt";"11000";"Heidelberg, Stadt";"08221";"560";"330";"230";"420";"140";"0"
"Berlin, Stadt";"11000";"Mannheim, Universitätsstadt";"08222";"800";"490";"300";"550";"250";"10"
"Berlin, Stadt";"11000";"Neckar-Odenwald-Kreis";"08225";"100";"60";"40";"80";"20";"0"
"Berlin, Stadt";"11000";"Rhein-Neckar-Kreis";"08226";"770";"460";"310";"590";"180";"10"
"Berlin, Stadt";"11000";"Pforzheim, Stadt";"08231";"110";"70";"50";"80";"30";"0"
"Berlin, Stadt";"11000";"Calw";"08235";"150";"80";"60";"120";"30";"0"
"Berlin, Stadt";"11000";"Enzkreis";"08236";"160";"90";"70";"140";"20";"0"
"Berlin, Stadt";"11000";"Freudenstadt";"08237";"90";"50";"40";"70";"20";"0"
"Berlin, Stadt";"11000";"Freiburg im Breisgau, Stadt";"08311";"590";"350";"240";"460";"130";"10"
"Berlin, Stadt";"11000";"Breisgau-Hochschwarzwald";"08315";"340";"190";"160";"280";"60";"10"
"Berlin, Stadt";"11000";"Emmendingen";"08316";"170";"90";"70";"140";"30";"0"
"Berlin, Stadt";"11000";"Ortenaukreis";"08317";"310";"170";"140";"250";"60";"10"
"Berlin, Stadt";"11000";"Rottweil";"08325";"110";"70";"40";"80";"30";"0"
"Berlin, Stadt";"11000";"Schwarzwald-Baar-Kreis";"08326";"170";"100";"70";"130";"40";"0"
"Berlin, Stadt";"11000";"Tuttlingen";"08327";"100";"60";"40";"70";"30";"0"
"Berlin, Stadt";"11000";"Konstanz";"08335";"380";"230";"160";"290";"90";"0"
"Berlin, Stadt";"11000";"Lörrach";"08336";"210";"110";"100";"160";"50";"0"
"Berlin, Stadt";"11000";"Waldshut";"08337";"120";"60";"60";"100";"30";"0"
"Berlin, Stadt";"11000";"Reutlingen";"08415";"270";"150";"120";"210";"70";"10"
"Berlin, Stadt";"11000";"Tübingen";"08416";"350";"200";"160";"280";"70";"0"
"Berlin, Stadt";"11000";"Zollernalbkreis";"08417";"140";"80";"50";"110";"30";"0"
"Berlin, Stadt";"11000";"Ulm, Universitätsstadt";"08421";"200";"120";"80";"140";"60";"0"
"Berlin, Stadt";"11000";"Alb-Donau-Kreis";"08425";"150";"90";"70";"120";"30";"0"
"Berlin, Stadt";"11000";"Biberach";"08426";"130";"80";"50";"110";"30";"0"
"Berlin, Stadt";"11000";"Bodenseekreis";"08435";"280";"160";"120";"210";"60";"10"
"Berlin, Stadt";"11000";"Ravensburg";"08436";"220";"110";"110";"180";"40";"0"
"Berlin, Stadt";"11000";"Sigmaringen";"08437";"150";"70";"80";"100";"50";"0"
