lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %
221;14522;Mittelsachsen;2.252 
222;12064;Märkisch-Oderland;1.422 
223;05962;Märkischer Kreis;3.688 
224;05116;Mönchengladbach;7.165 
225;09183;Mühldorf a. Inn;2.191 
226;05117;Mülheim an der Ruhr;7.440 
227;09162;München;11.033 
228;09184;München (Landkreis);3.863 
229;05515;Münster;4.968 
230;08225;Neckar-Odenwald-Kreis;2.408 
231;09775;Neu-Ulm;3.746 
232;09185;Neuburg-Schrobenhausen;2.266 
233;09373;Neumarkt i.d. OPf.;2.399 
234;01004;Neumünster;6.142 
235;10043;Neunkirchen;3.988 
236;09575;Neustadt a.d. Aisch-Bad Windsheim;2.287 
237;09374;Neustadt a.d. Waldnaab;2.314 
238;07316;Neustadt an der Weinstraße;3.460 
239;07138;Neuwied;3.205 
240;03256;Nienburg (Weser);1.964 
241;01054;Nordfriesland;1.873 
242;16062;Nordhausen;1.828 
243;14730;Nordsachsen;1.823 
244;13074;Nordwestmecklenburg;1.175 
245;03155;Northeim;2.764 
246;09564;Nürnberg;9.204 
247;09574;Nürnberger Land;3.025 
248;09780;Oberallgäu;1.651 
249;05374;Oberbergischer Kreis;3.443 
250;05119;Oberhausen;10.095 
251;12065;Oberhavel;1.414 
252;12066;Oberspreewald-Lausitz;1.714 
253;06437;Odenwaldkreis;3.076 
254;12067;Oder-Spree;1.351 
255;06438;Offenbach;5.708 
256;06413;Offenbach am Main;8.790 
257;03458;Oldenburg;2.156 
258;03403;Oldenburg (Oldb);8.608 
259;05966;Olpe;4.106 
260;08317;Ortenaukreis;2.889 
261;03404;Osnabrück;7.127 
262;03459;Osnabrück (Landkreis);2.527 
263;08136;Ostalbkreis;2.645 
264;09777;Ostallgäu;1.957 
265;03356;Osterholz;2.037 
266;01055;Ostholstein;1.891 
267;12068;Ostprignitz-Ruppin;1.017 
268;05774;Paderborn;3.041 
269;09262;Passau;5.927 
270;09275;Passau (Landkreis);2.459 
271;03157;Peine;3.055 
272;09186;Pfaffenhofen a.d. Ilm;2.695 
273;08231;Pforzheim;6.462 
274;01056;Pinneberg;2.964 
275;07317;Pirmasens;4.690 
276;01057;Plön;1.538 
277;12054;Potsdam;3.728 
278;12069;Potsdam-Mittelmark;1.325 
279;12070;Prignitz;1.017 
280;08216;Rastatt;3.302 
281;08436;Ravensburg;2.200 
282;05562;Recklinghausen;4.807 
283;09276;Regen;1.958 
284;09362;Regensburg;8.910 
285;09375;Regensburg (Landkreis);2.387 
286;03241;Region Hannover;3.538 
287;10041;Regionalverband Saarbrücken;4.935 
288;08119;Rems-Murr-Kreis;3.794 
289;05120;Remscheid;6.887 
290;01058;Rendsburg-Eckernförde;1.843 
291;08415;Reutlingen;2.775 
292;05362;Rhein-Erft-Kreis;4.431 
293;07140;Rhein-Hunsrück-Kreis;2.093 
294;05162;Rhein-Kreis Neuss;4.866 
295;07141;Rhein-Lahn-Kreis;2.025 
296;08226;Rhein-Neckar-Kreis;4.010 
297;07338;Rhein-Pfalz-Kreis;4.062 
298;05382;Rhein-Sieg-Kreis;4.385 
299;06439;Rheingau-Taunus-Kreis;3.118 
300;05378;Rheinisch-Bergischer Kreis;4.339 
301;09673;Rhön-Grabfeld;2.459 
302;09163;Rosenheim;6.936 
303;09187;Rosenheim (Landkreis);2.192 
304;13072;Rostock;1.109 
