"Land";"Baden-Württemberg"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Stuttgart, Landeshauptstadt";"08111";"Heidenheim";"08135";"130";"60";"70";"70";"60";"0"
"Stuttgart, Landeshauptstadt";"08111";"Ostalbkreis";"08136";"870";"530";"340";"640";"220";"20"
"Stuttgart, Landeshauptstadt";"08111";"Baden-Baden, Stadt";"08211";"60";"30";"30";"50";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Karlsruhe, Stadt";"08212";"870";"530";"350";"670";"210";"20"
"Stuttgart, Landeshauptstadt";"08111";"Karlsruhe";"08215";"340";"230";"110";"250";"100";"10"
"Stuttgart, Landeshauptstadt";"08111";"Rastatt";"08216";"160";"120";"50";"90";"70";"0"
"Stuttgart, Landeshauptstadt";"08111";"Heidelberg, Stadt";"08221";"260";"140";"120";"190";"70";"0"
"Stuttgart, Landeshauptstadt";"08111";"Mannheim, Universitätsstadt";"08222";"470";"270";"200";"320";"150";"10"
"Stuttgart, Landeshauptstadt";"08111";"Neckar-Odenwald-Kreis";"08225";"50";"30";"20";"30";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Rhein-Neckar-Kreis";"08226";"330";"180";"150";"230";"100";"10"
"Stuttgart, Landeshauptstadt";"08111";"Pforzheim, Stadt";"08231";"370";"210";"160";"300";"70";"10"
"Stuttgart, Landeshauptstadt";"08111";"Calw";"08235";"430";"250";"180";"310";"120";"10"
"Stuttgart, Landeshauptstadt";"08111";"Enzkreis";"08236";"650";"500";"160";"470";"180";"10"
"Stuttgart, Landeshauptstadt";"08111";"Freudenstadt";"08237";"160";"100";"60";"120";"40";"0"
"Stuttgart, Landeshauptstadt";"08111";"Freiburg im Breisgau, Stadt";"08311";"210";"110";"100";"140";"70";"0"
"Stuttgart, Landeshauptstadt";"08111";"Breisgau-Hochschwarzwald";"08315";"60";"40";"30";"50";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Emmendingen";"08316";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Ortenaukreis";"08317";"170";"100";"70";"130";"40";"0"
"Stuttgart, Landeshauptstadt";"08111";"Rottweil";"08325";"150";"80";"70";"120";"40";"10"
"Stuttgart, Landeshauptstadt";"08111";"Schwarzwald-Baar-Kreis";"08326";"130";"70";"60";"110";"20";"10"
"Stuttgart, Landeshauptstadt";"08111";"Tuttlingen";"08327";"90";"50";"40";"80";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Konstanz";"08335";"180";"100";"80";"150";"30";"10"
"Stuttgart, Landeshauptstadt";"08111";"Lörrach";"08336";"70";"40";"30";"50";"20";"10"
"Stuttgart, Landeshauptstadt";"08111";"Waldshut";"08337";"40";"30";"10";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Reutlingen";"08415";"2320";"1340";"980";"1770";"560";"50"
"Stuttgart, Landeshauptstadt";"08111";"Tübingen";"08416";"1360";"620";"740";"1130";"230";"40"
"Stuttgart, Landeshauptstadt";"08111";"Zollernalbkreis";"08417";"210";"120";"90";"160";"50";"10"
"Stuttgart, Landeshauptstadt";"08111";"Ulm, Universitätsstadt";"08421";"420";"280";"140";"300";"120";"10"
"Stuttgart, Landeshauptstadt";"08111";"Alb-Donau-Kreis";"08425";"100";"70";"30";"80";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Biberach";"08426";"110";"70";"40";"80";"30";"0"
"Stuttgart, Landeshauptstadt";"08111";"Bodenseekreis";"08435";"150";"110";"40";"120";"30";"0"
"Stuttgart, Landeshauptstadt";"08111";"Ravensburg";"08436";"150";"90";"50";"110";"30";"10"
"Stuttgart, Landeshauptstadt";"08111";"Sigmaringen";"08437";"50";"30";"20";"50";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"091xx";"30";"30";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Ingolstadt, Stadt";"09161";"120";"70";"50";"100";"30";"0"
"Stuttgart, Landeshauptstadt";"08111";"München, Landeshauptstadt";"09162";"2460";"1420";"1030";"1720";"730";"20"
"Stuttgart, Landeshauptstadt";"08111";"Altötting";"09171";"10";"10";"0";"0";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Berchtesgadener Land";"09172";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Bad Tölz-Wolfratshausen";"09173";"10";"10";"10";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Dachau";"09174";"20";"10";"10";"10";"10";"0"
