"Land";"Berlin"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Berlin, Stadt";"11000";"Calw";"08235";"40";"20";"20";"30";"10";"0"
"Berlin, Stadt";"11000";"Enzkreis";"08236";"80";"60";"20";"70";"10";"0"
"Berlin, Stadt";"11000";"Freudenstadt";"08237";"80";"50";"30";"60";"20";"0"
"Berlin, Stadt";"11000";"Freiburg im Breisgau, Stadt";"08311";"510";"270";"250";"410";"110";"0"
"Berlin, Stadt";"11000";"Breisgau-Hochschwarzwald";"08315";"110";"80";"40";"80";"30";"0"
"Berlin, Stadt";"11000";"Emmendingen";"08316";"40";"30";"10";"30";"10";"0"
"Berlin, Stadt";"11000";"Ortenaukreis";"08317";"300";"200";"100";"220";"80";"0"
"Berlin, Stadt";"11000";"Rottweil";"08325";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Schwarzwald-Baar-Kreis";"08326";"110";"70";"40";"90";"20";"0"
"Berlin, Stadt";"11000";"Tuttlingen";"08327";"60";"40";"20";"60";"10";"0"
"Berlin, Stadt";"11000";"Konstanz";"08335";"300";"140";"160";"270";"40";"0"
"Berlin, Stadt";"11000";"Lörrach";"08336";"180";"90";"90";"140";"40";"10"
"Berlin, Stadt";"11000";"Waldshut";"08337";"80";"70";"20";"60";"20";"0"
"Berlin, Stadt";"11000";"Reutlingen";"08415";"160";"100";"60";"120";"40";"0"
"Berlin, Stadt";"11000";"Tübingen";"08416";"160";"90";"80";"140";"30";"0"
"Berlin, Stadt";"11000";"Zollernalbkreis";"08417";"80";"50";"30";"70";"10";"0"
"Berlin, Stadt";"11000";"Ulm, Universitätsstadt";"08421";"200";"120";"80";"150";"50";"0"
"Berlin, Stadt";"11000";"Alb-Donau-Kreis";"08425";"340";"300";"40";"160";"180";"0"
"Berlin, Stadt";"11000";"Biberach";"08426";"60";"40";"30";"50";"20";"0"
"Berlin, Stadt";"11000";"Bodenseekreis";"08435";"140";"90";"50";"100";"40";"0"
"Berlin, Stadt";"11000";"Ravensburg";"08436";"90";"60";"30";"80";"10";"0"
"Berlin, Stadt";"11000";"Sigmaringen";"08437";"20";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Ingolstadt, Stadt";"09161";"230";"170";"70";"150";"90";"0"
"Berlin, Stadt";"11000";"München, Landeshauptstadt";"09162";"11710";"6440";"5270";"7750";"3960";"60"
"Berlin, Stadt";"11000";"Rosenheim, Stadt";"09163";"50";"30";"20";"30";"20";"0"
"Berlin, Stadt";"11000";"Altötting";"09171";"20";"10";"0";"10";"10";"0"
"Berlin, Stadt";"11000";"Berchtesgadener Land";"09172";"60";"40";"30";"40";"20";"0"
"Berlin, Stadt";"11000";"Bad Tölz-Wolfratshausen";"09173";"50";"30";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Dachau";"09174";"50";"40";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Ebersberg";"09175";"110";"70";"40";"70";"40";"0"
"Berlin, Stadt";"11000";"Eichstätt";"09176";"40";"30";"10";"30";"10";"0"
"Berlin, Stadt";"11000";"Erding";"09177";"90";"80";"10";"30";"50";"0"
"Berlin, Stadt";"11000";"Freising";"09178";"740";"380";"360";"630";"110";"0"
"Berlin, Stadt";"11000";"Fürstenfeldbruck";"09179";"180";"110";"70";"110";"70";"0"
"Berlin, Stadt";"11000";"Garmisch-Partenkirchen";"09180";"20";"10";"10";"20";"0";"0"
"Berlin, Stadt";"11000";"Landsberg am Lech";"09181";"60";"40";"30";"60";"10";"0"
"Berlin, Stadt";"11000";"Miesbach";"09182";"120";"80";"40";"100";"20";"0"
"Berlin, Stadt";"11000";"Mühldorf aInn";"09183";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"München";"09184";"2480";"1650";"830";"1770";"710";"10"
"Berlin, Stadt";"11000";"Neuburg-Schrobenhausen";"09185";"30";"30";"0";"20";"10";"0"
"Berlin, Stadt";"11000";"Pfaffenhofen adIlm";"09186";"120";"100";"20";"90";"30";"0"
"Berlin, Stadt";"11000";"Rosenheim";"09187";"150";"90";"60";"120";"30";"0"
"Berlin, Stadt";"11000";"Starnberg";"09188";"240";"140";"90";"180";"50";"0"
"Berlin, Stadt";"11000";"Traunstein";"09189";"90";"60";"40";"70";"20";"0"
"Berlin, Stadt";"11000";"Weilheim-Schongau";"09190";"50";"40";"10";"40";"20";"0"
"Berlin, Stadt";"11000";"Landshut, Stadt";"09261";"50";"40";"20";"30";"20";"0"
"Berlin, Stadt";"11000";"Passau, Stadt";"09262";"120";"80";"40";"80";"40";"0"
"Berlin, Stadt";"11000";"Straubing, Stadt";"09263";"10";"10";"0";"10";"0";"0"
"Berlin, Stadt";"11000";"Deggendorf";"09271";"40";"30";"10";"20";"20";"0"
"Berlin, Stadt";"11000";"Freyung-Grafenau";"09272";"10";"10";"0";"10";"0";"0"
"Berlin, Stadt";"11000";"Kelheim";"09273";"20";"20";"0";"20";"0";"0"
"Berlin, Stadt";"11000";"Landshut";"09274";"50";"40";"10";"30";"20";"0"
"Berlin, Stadt";"11000";"Passau";"09275";"40";"30";"20";"20";"20";"0"
"Berlin, Stadt";"11000";"Regen";"09276";"10";"10";"0";"10";"0";"0"
"Berlin, Stadt";"11000";"Rottal-Inn";"09277";"40";"30";"10";"30";"10";"0"
"Berlin, Stadt";"11000";"Straubing-Bogen";"09278";"10";"10";"0";"10";"10";"0"
"Berlin, Stadt";"11000";"Dingolfing-Landau";"09279";"20";"10";"0";"10";"0";"0"
"Berlin, Stadt";"11000";"Übrige Kreise (Regierungsbezirk)";"093xx";"10";"10";"0";"10";"0";"0"
"Berlin, Stadt";"11000";"Amberg, Stadt";"09361";"20";"10";"10";"10";"10";"0"
"Berlin, Stadt";"11000";"Regensburg, Stadt";"09362";"160";"100";"60";"120";"40";"10"
